id,name,maxdate,mindate,latitude,elevation,longitude,datacoverage,elevationUnit
GHCND:FIE00143211,"VIROLAHTI KOIVUNIEMI, FI",2021-05-31,1977-01-01,60.5269,5.0,27.6756,1,METERS
GHCND:FIE00143707,"SYSMA JOUTSJARVI, FI",2021-05-31,1965-01-01,61.5106,92.0,25.8144,1,METERS
GHCND:FIE00144482,"AHTARI MYLLYMAKI, FI",2021-05-31,1959-01-01,62.5344,157.0,24.2206,1,METERS
GHCND:FIE00144862,"RAUTAVAARA YLA LUOSTA, FI",2021-05-31,1976-06-01,63.3778,166.0,28.665,1,METERS
GHCND:FIE00145112,"KAUSTINEN TASTULA, FI",2021-05-31,1965-01-01,63.5931,70.0,23.7203,1,METERS
GHCND:FIE00145207,"KALAJOKI METSAKYLA, FI",2021-05-31,1965-01-01,64.2731,40.0,24.2108,1,METERS
GHCND:FIE00145577,"HAILUOTO OJAKYLA, FI",2021-05-31,1959-01-01,65.0192,8.0,24.7314,1,METERS
GHCND:FIE00145677,"VAALA PELSO, FI",2021-05-31,1959-01-01,64.5008,114.0,26.4275,1,METERS
GHCND:FIE00146067,"KUUSAMO KIUTAKONGAS, FI",2021-05-31,1966-08-01,66.3681,160.0,29.3192,1,METERS
GHCND:FIE00146187,"PELLO KK MUSEOTIE, FI",2021-05-31,1970-08-01,66.7722,84.0,23.9669,1,METERS
GHCND:FIE00146258,"ROVANIEMI APUKKA, FI",2021-05-31,1959-01-01,66.5789,106.0,26.015,1,METERS
GHCND:FIE00146618,"ENONTEKIO KILPISJARVI KYLAKESK, FI",2021-05-31,1978-12-31,69.0483,480.0,20.7956,1,METERS
GHCND:FRE00106192,"BASEL MULHOUSE, FR",2020-12-31,1947-01-01,47.6142,263.0,7.51,1,METERS
GHCND:FRE00171640,"CAP CEPET, FR",2020-12-31,1968-10-01,43.0792,115.0,5.9406,1,METERS
GHCND:GM000003342,"POTSDAM, GM",2021-05-31,1893-01-01,52.3833,81.0,13.0639,1,METERS
GHCND:GM000004063,"BAMBERG, GM",2021-05-31,1879-01-02,49.8753,240.0,10.9217,1,METERS
GHCND:GM000010393,"LINDENBERG, GM",2021-05-31,1906-04-01,52.2094,98.0,14.1203,1,METERS
GHCND:GME00102177,"HELGOLAND, GM",2021-05-31,1952-05-01,54.1764,4.0,7.8931,1,METERS
GHCND:GME00102193,"SCHLESWIG, GM",2021-05-31,1947-01-01,54.5289,43.0,9.5492,1,METERS
GHCND:GME00102404,"KONSTANZ, GM",2021-05-31,1941-01-01,47.6781,443.0,9.1908,1,METERS
GHCND:GME00102412,"KEMPTEN, GM",2021-05-31,1895-05-01,47.7242,705.0,10.3364,1,METERS
GHCND:GME00120970,"GERA LEUMNITZ, GM",2021-05-31,1952-01-01,50.8819,311.0,12.13,1,METERS
GHCND:GME00121186,"WEIDEN, GM",2021-05-31,1947-01-01,49.6669,440.0,12.1856,1,METERS
GHCND:GME00121378,"DREWITZ BEI BURG, GM",2021-05-31,1991-01-01,52.2183,80.0,12.165,1,METERS
GHCND:GME00121750,"EMMENDINGEN MUNDINGEN, GM",2021-05-31,1961-01-01,48.1383,201.0,7.8356,1,METERS
GHCND:GME00121882,"MOHRENDORF KLEINSEEBACH, GM",2021-05-31,1931-01-01,49.6506,268.0,11.0083,1,METERS
GHCND:GME00122410,"ALTOMUNSTER MAISBRUNN, GM",2021-05-31,1955-01-01,48.4067,510.0,11.3131,1,METERS
GHCND:GME00122482,"FREIBURG ELBE, GM",2021-05-31,1970-11-01,53.8292,2.0,9.2494,1,METERS
GHCND:GME00123190,"ARNSTEIN MUDESHEIM, GM",2021-05-31,1986-04-01,49.9706,220.0,9.9125,1,METERS
GHCND:GME00123274,"HAMBURG NEUWIEDENTHAL, GM",2021-05-31,1962-05-01,53.4792,3.0,9.8983,1,METERS
GHCND:GME00123586,"ASSLAR KLEIN ALTENSTADTEN, GM",2021-05-31,1981-09-01,50.5808,200.0,8.4692,1,METERS
GHCND:GME00123694,"BAD HERSFELD, GM",2021-05-31,1949-01-01,50.8531,272.0,9.7383,1,METERS
GHCND:GME00123934,"HOHWACHT, GM",2021-05-31,1977-11-01,54.3206,10.0,10.6742,1,METERS
GHCND:GME00123970,"HOLZKIRCHEN, GM",2021-05-31,1982-12-01,47.8831,685.0,11.6975,1,METERS
GHCND:GME00124474,"KIRCHBERG JAGST HERBOLDSHAUSEN, GM",2021-05-31,1981-10-01,49.1814,426.0,9.9808,1,METERS
GHCND:GME00124510,"BAD KISSINGEN, GM",2021-05-31,1946-01-01,50.2256,282.0,10.0803,1,METERS
GHCND:GME00124678,"BAD KONIGSHOFEN, GM",2021-05-31,1951-01-01,50.2853,288.0,10.4467,1,METERS
GHCND:GME00124726,"KOSCHING, GM",2021-05-31,1961-01-01,48.8308,417.0,11.4883,1,METERS
GHCND:GME00125278,"LENZEN ELBE, GM",2021-05-31,1951-01-01,53.1025,20.0,11.4878,1,METERS
GHCND:GME00125422,"LIPPSTADT BOKENFORDE, GM",2021-05-31,1980-12-01,51.6344,92.0,8.3953,1,METERS
GHCND:GME00125794,"MARTINRODA, GM",2021-05-31,1983-01-01,50.7344,430.0,10.8831,1,METERS
GHCND:GME00126046,"MICHELSTADT, GM",2021-05-31,1951-01-01,49.67,240.0,9.0119,1,METERS
GHCND:GME00126058,"MICHELSTADT VIELBRUNN, GM",2021-05-31,1987-10-01,49.7189,453.0,9.1006,1,METERS
GHCND:GME00126226,"MUHLDORF, GM",2021-05-31,1953-01-01,48.28,405.0,12.5039,1,METERS
GHCND:GME00126622,"NEUSTADT AM KULM FILCHENDORF, GM",2021-05-31,1951-01-01,49.8183,452.0,11.8653,1,METERS
GHCND:GME00126670,"REGENSBURG BURGWEINTING, GM",2021-05-31,1981-01-01,48.9842,341.0,12.1456,1,METERS
GHCND:GME00126910,"OBERSCHLEISSHEIM, GM",2021-05-31,1976-04-01,48.2444,484.0,11.5539,1,METERS
GHCND:GME00126946,"OBERVIECHTACH, GM",2021-05-31,1948-10-01,49.4531,596.0,12.4381,1,METERS
GHCND:GME00127258,"BAD STUNZEL BERLEBURG, GM",2021-05-31,1986-12-01,50.985,610.0,8.3689,1,METERS
GHCND:GME00127750,"RHEINAU MEMPRECHTSHOFEN, GM",2021-05-31,1958-01-01,48.6708,131.0,7.9956,1,METERS
GHCND:GME00128110,"SACHSENHEIM, GM",2021-05-31,1987-11-01,48.9578,248.0,9.0719,1,METERS
GHCND:GME00128218,"SANKT PETER ORDING, GM",2021-05-31,1951-01-01,54.3294,5.0,8.6028,1,METERS
GHCND:GME00128470,"SCHMELZ HUTTERSDORF, GM",2021-05-31,1966-01-01,49.4231,223.0,6.8403,1,METERS
GHCND:GME00128734,"SEEHAUSEN, GM",2021-05-31,1970-01-01,52.8928,21.0,11.7306,1,METERS
GHCND:GME00129022,"STAMMBACH QUERENBACH, GM",2021-05-31,1941-01-01,50.1542,598.0,11.7417,1,METERS
GHCND:GME00129718,"WAGHAUSEL KIRRLACH, GM",2021-05-31,1951-01-01,49.2456,105.0,8.5381,1,METERS
GHCND:GME00129754,"WITTENBORN, GM",2021-05-31,1981-04-01,53.9214,39.0,10.2306,1,METERS
GHCND:GME00130258,"WIESBADEN AURINGEN, GM",2021-05-31,1987-06-01,50.1331,263.0,8.3178,1,METERS
GHCND:GME00130486,"WOLFACH, GM",2021-05-31,1958-01-01,48.2958,291.0,8.24,1,METERS
GHCND:GME00130786,"BERGE, GM",2021-05-31,1953-07-01,52.6206,40.0,12.7889,1,METERS
GHCND:HUE00100247,"BUDAPEST, HU",2020-12-31,1901-01-01,47.5108,153.0,19.0206,1,METERS
GHCND:HUE00152440,"DEBRECEN AIRPORT, HU",2020-12-31,1901-01-01,47.4903,108.0,21.6106,1,METERS
GHCND:HUE00152450,"SZEGED, HU",2020-12-31,1901-01-01,46.2558,82.0,20.0903,1,METERS
GHCND:HUE00152455,"SZOMBATHELY, HU",2020-12-31,1901-01-01,47.1981,201.0,16.6478,1,METERS
GHCND:EN000026124,"LAANE NIGULA, EN",2021-04-30,1963-12-31,58.9508,24.0,23.8156,1,METERS
GHCND:NLE00152470,"EELDE, NL",2021-05-31,1906-03-01,53.1233,5.0,6.5844,1,METERS
GHCND:NOE00105476,"HOPEN, NO",2021-05-31,1945-10-15,76.5,6.0,25.0667,1,METERS
GHCND:NOE00109746,"TAFJORD, NO",2021-05-31,1930-06-17,62.2333,15.0,7.4167,1,METERS
GHCND:NOE00109768,"TAKLE, NO",2021-05-31,1950-06-02,61.0267,38.0,5.385,1,METERS
GHCND:NOE00109948,"ATNSJOEN, NO",2021-05-31,1956-12-30,61.8903,749.0,10.1417,1,METERS
GHCND:NOE00110101,"SKJAK, NO",2021-05-30,1895-12-30,61.9017,432.0,8.1719,1,METERS
GHCND:NOE00110128,"VANG I VALDRES, NO",2021-05-31,1902-07-31,61.1258,477.0,8.5817,1,METERS
GHCND:NOE00110213,"AL III, NO",2021-05-31,1956-12-30,60.6383,706.0,8.5658,1,METERS
GHCND:NOE00110222,"SOKNA II, NO",2021-05-31,1956-12-30,60.2381,140.0,9.9258,1,METERS
GHCND:NOE00110240,"HEDRUM, NO",2021-05-31,1895-06-29,59.1956,31.0,9.9681,1,METERS
GHCND:NOE00110411,"MYKLAND, NO",2021-05-31,1894-12-30,58.6331,245.0,8.2817,1,METERS
GHCND:NOE00110447,KJEVIK,2021-05-31,1946-01-01,58.2003,12.0,8.0681,1,METERS
GHCND:NOE00110500,"FLEKKEFJORD, NO",2021-05-31,1956-12-30,58.2842,5.0,6.6494,1,METERS
GHCND:NOE00110563,"MAUDAL, NO",2021-05-31,1956-12-30,58.7658,311.0,6.3694,1,METERS
GHCND:NOE00110581,"SOYLAND I GJESDAL, NO",2021-05-31,1902-09-29,58.6842,263.0,5.9844,1,METERS
GHCND:NOE00110608,"SVILAND, NO",2021-05-31,1895-06-29,58.8183,230.0,5.9203,1,METERS
GHCND:NOE00110743,"AURLAND, NO",2021-05-31,1956-12-30,60.9031,15.0,7.2017,1,METERS
GHCND:NOE00110779,"HAFSLO, NO",2021-05-31,1895-06-29,61.2925,246.0,7.1883,1,METERS
GHCND:NOE00110806,"HOVLANDSDAL, NO",2021-05-31,1899-12-31,61.2342,60.0,5.4319,1,METERS
GHCND:NOE00110815,"LAVIK, NO",2021-05-31,1956-12-30,61.1119,31.0,5.5467,1,METERS
GHCND:NOE00110869,"VIK I SOGN III, NO",2021-05-31,1894-12-30,61.0728,65.0,6.5814,1,METERS
GHCND:NOE00110923,"NORDDAL, NO",2021-05-31,1894-12-30,62.2478,28.0,7.2414,1,METERS
GHCND:NOE00111084,"LIAFOSS, NO",2021-05-31,1909-06-08,64.8383,44.0,11.9567,1,METERS
GHCND:NOE00111183,"LEIRFJORD, NO",2021-05-31,1956-12-30,66.0667,53.0,12.9156,1,METERS
GHCND:NOE00111201,"LUROY, NO",2021-05-31,1922-11-29,66.3894,115.0,13.1869,1,METERS
GHCND:NOE00111210,"OKSNINGOY, NO",2021-05-31,1956-12-30,65.1228,17.0,12.3733,1,METERS
GHCND:NOE00111219,"STEIGEN, NO",2021-05-31,1914-12-30,67.9217,35.0,15.1169,1,METERS
GHCND:NOE00111264,"BONES I BARDU, NO",2021-05-31,1906-12-30,68.6456,230.0,18.2456,1,METERS
GHCND:NOE00134394,"SAND I RYFYLKE II, NO",2021-05-31,1932-06-30,59.4792,25.0,6.2758,1,METERS
GHCND:NOE00134634,"LEINSTRAND, NO",2021-05-31,1960-07-30,63.3281,13.0,10.2733,1,METERS
GHCND:NOE00134658,"LOKSMYR, NO",2021-05-31,1960-07-30,63.2381,165.0,10.4353,1,METERS
GHCND:ROE00108887,"BACAU, RO",2020-09-30,1961-01-01,46.5331,184.0,26.9167,1,METERS
GHCND:ROE00108891,"CEAHLAU TOACA, RO",2020-09-30,1964-01-01,46.93,1897.0,25.92,1,METERS
GHCND:ROE00108897,"MIERCUREA CIUC, RO",2020-09-30,1961-01-01,46.3667,661.0,25.7331,1,METERS
GHCND:ROE00108900,"ROSIORI DE VEDE, RO",2020-09-30,1961-01-01,44.1,102.0,24.9831,1,METERS
GHCND:ROE00108903,"TULCEA, RO",2020-09-30,1961-01-01,45.1831,4.0,28.8167,1,METERS
GHCND:SP000006155,"MALAGA AEROPUERTO, SP",2021-07-19,1942-05-01,36.6667,7.0,-4.4881,1,METERS
GHCND:SP000008215,"NAVACERRADA, SP",2021-07-19,1946-01-01,40.7806,1894.0,-4.0103,1,METERS
GHCND:SP000009434,"ZARAGOZA AEROPUERTO, SP",2021-03-31,1941-01-01,41.6617,247.0,-1.0081,1,METERS
GHCND:SPE00119711,"A CORUNA, SP",2021-07-19,1930-10-01,43.3669,58.0,-8.4192,1,METERS
GHCND:SPE00119828,"OVIEDO, SP",2021-07-19,1972-12-01,43.3542,336.0,-5.8728,1,METERS
GHCND:SPE00120224,"LEON VIRGEN DEL CAMINO, SP",2021-07-19,1938-01-01,42.5889,916.0,-5.6492,1,METERS
GHCND:SPE00120233,"PONFERRADA, SP",2021-07-19,1951-01-01,42.5639,534.0,-6.6,1,METERS
GHCND:SPE00120287,"MADRID CUATROVIENTOS, SP",2021-07-19,1945-05-01,40.3778,687.0,-3.7892,1,METERS
GHCND:SWE00136141,"KARLSTAD AIRPORT, SW",2021-05-31,1942-06-01,59.4444,107.0,13.3375,1,METERS
GHCND:SWE00137628,"HANO A, SW",2021-05-31,1881-11-01,56.01,55.0,14.85,1,METERS
GHCND:SWE00137910,"HOBURG, SW",2021-05-31,1879-11-01,56.92,38.0,18.1664,1,METERS
GHCND:SWE00137932,"HINSHULT, SW",2021-04-30,1981-08-01,56.97,145.0,15.88,1,METERS
GHCND:SWE00138094,"SKILLINGARYD, SW",2021-04-30,1945-01-01,57.43,180.0,14.1,1,METERS
GHCND:SWE00138098,"VANGE, SW",2021-05-31,1991-04-01,57.44,45.0,18.49,1,METERS
GHCND:SWE00138196,"HEJNUM, SW",2021-05-31,1971-01-01,57.7,53.0,18.64,1,METERS
GHCND:SWE00138216,"PRASTKULLA, SW",2021-05-31,1945-01-01,57.72,290.0,14.99,1,METERS
GHCND:SWE00138386,"GENDALEN, SW",2021-04-30,1962-10-01,58.16,90.0,12.65,1,METERS
GHCND:SWE00138606,"MARIESTAD, SW",2021-05-31,1958-08-01,58.71,50.0,13.82,1,METERS
GHCND:SWE00138640,"SORBYTORP, SW",2021-05-31,1945-01-01,58.81,185.0,14.65,1,METERS
GHCND:SWE00138756,"ATORP, SW",2021-04-30,1961-01-01,59.1,105.0,14.37,1,METERS
GHCND:SWE00138778,"SAFFLE, SW",2021-04-30,1951-10-01,59.14,50.0,12.94,1,METERS
GHCND:SWE00138986,"GRASAS D, SW",2021-05-31,1987-11-01,59.53,110.0,13.94,1,METERS
GHCND:SWE00139022,"HOGBODA, SW",2021-04-30,1972-07-01,59.58,90.0,13.03,1,METERS
GHCND:SWE00139176,"VITTINGE, SW",2021-04-30,1973-11-01,59.9,50.0,17.03,1,METERS
GHCND:SWE00139250,"BROVALLEN, SW",2021-05-31,1991-01-01,60.1,100.0,16.3097,1,METERS
GHCND:SWE00140888,"RITSEM, SW",2021-05-31,1981-03-01,67.73,521.0,17.4697,1,METERS
GHCND:SWE00140898,"LAINIO, SW",2021-04-30,1961-01-01,67.76,315.0,22.35,1,METERS
GHCND:UK000056225,"OXFORD, UK",2020-12-31,1814-12-31,51.7667,63.0,-1.2667,1,METERS
GHCND:FIE00143041,"KOUVOLA UTTI LENTOPORTINTIE, FI",2021-05-31,1959-01-01,60.8903,99.0,26.9442,1,METERS
GHCND:GME00111512,"STUTTGART ECHTERDINGEN, GM",2021-05-31,1953-01-01,48.6892,371.0,9.2253,1,METERS
GHCND:GME00127930,"BERLIN SCHONEFELD, GM",2021-05-31,1957-01-01,52.3819,46.0,13.5325,1,METERS
GHCND:USC00420819,"BOUNTIFUL BENCH, UT US",2021-07-19,1974-10-01,40.891,1508.8,-111.8504,1,METERS
GHCND:USC00123207,"GARRETT 1 S, IN US",2021-05-31,1989-02-01,41.3366,265.2,-85.1198,1,METERS
GHCND:USC00160558,"BATON ROUGE SHERWOOD, LA US",2021-07-20,1979-07-01,30.4494,16.8,-91.0477,1,METERS
GHCND:USC00175675,"NEWCASTLE, ME US",2021-04-30,1965-06-01,44.0436,64.9,-69.53753,1,METERS
GHCND:USC00185934,"MILLERS 4 NE, MD US",2021-07-19,1988-03-01,39.7194,262.1,-76.8027,1,METERS
GHCND:NLE00109364,"WOLTERSUM, NL",2020-09-19,1950-12-31,53.2667,-1.0,6.7167,1,METERS
GHCND:ROE00108894,"DEVA, RO",2020-09-30,1961-01-01,45.8667,230.0,22.9,1,METERS
GHCND:USC00443375,"GLASGOW 1 SE, VA US",2021-07-20,1967-11-01,37.61838,224.6,-79.43575,1,METERS
GHCND:USS0003E03S,"BLIND PARK, SD US",2021-07-19,1990-06-01,44.11,2100.1,-103.98,1,METERS
GHCND:USS0005J12S,"STILLWATER CREEK, CO US",2021-07-19,1985-09-30,40.23,2657.9,-105.92,1,METERS
GHCND:USS0005K14S,"BERTHOUD SUMMIT, CO US",2021-07-19,1978-09-30,39.8,3444.2,-105.78,1,METERS
GHCND:USS0005M07S,"APISHAPA, CO US",2021-07-19,1980-06-09,37.33,3048.0,-105.07,1,METERS
GHCND:USS0006K06S,"NAST LAKE, CO US",2021-07-19,1985-09-30,39.3,2651.8,-106.61,1,METERS
GHCND:USS0006K24S,"COPPER MOUNTAIN, CO US",2021-07-19,1978-09-30,39.49,3215.6,-106.17,1,METERS
GHCND:USS0006K30S,"KILN, CO US",2021-06-30,1980-07-11,39.32,2926.1,-106.61,1,METERS
GHCND:USS0006L02S,"PARK CONE, CO US",2021-07-19,1980-08-03,38.82,2926.1,-106.59,1,METERS
GHCND:USS0006L03S,"PORPHYRY CREEK, CO US",2021-07-19,1978-09-30,38.49,3279.6,-106.34,1,METERS
GHCND:USS0006M03S,"UPPER SAN JUAN, CO US",2021-07-19,1978-09-30,37.49,3109.0,-106.84,1,METERS
GHCND:USS0006M22S,"CUMBRES TRESTLE, CO US",2021-07-19,1980-08-05,37.02,3060.2,-106.45,1,METERS
GHCND:USS0007E06S,"POWDER RIVER PASS, WY US",2021-07-19,1978-09-30,44.16,2889.5,-107.13,1,METERS
GHCND:USS0007E21S,"BALD MOUNTAIN, WY US",2021-07-19,1978-09-30,44.8,2859.0,-107.84,1,METERS
GHCND:USS0007E36S,"CLOUD PEAK RESERVOIR, WY US",2021-07-19,1978-09-30,44.4,3005.3,-107.06,1,METERS
GHCND:USS0007F01S,"BEAR TRAP MEADOW, WY US",2021-07-19,1980-07-31,43.89,2499.4,-107.06,1,METERS
GHCND:USS0007F02S,"MIDDLE POWDER, WY US",2021-07-19,1978-09-30,43.63,2365.2,-107.18,1,METERS
GHCND:USS0007H04S,"BATTLE MOUNTAIN, WY US",2021-07-19,1985-09-30,41.05,2267.7,-107.27,1,METERS
GHCND:USS0007J05S,"RIPPLE CREEK, CO US",2021-07-19,1986-09-22,40.11,3151.6,-107.29,1,METERS
GHCND:USS0007K01S,"NORTH LOST TRAIL, CO US",2021-07-19,1985-09-17,39.08,2804.2,-107.14,1,METERS
GHCND:USS0007K11S,"SCHOFIELD PASS, CO US",2021-07-19,1985-08-21,39.02,3261.4,-107.05,1,METERS
GHCND:USS0007K12S,"BISON LAKE, CO US",2021-07-19,1985-09-30,39.76,3316.2,-107.36,1,METERS
GHCND:USS0007M12S,"MOLAS LAKE, CO US",2021-07-19,1986-08-06,37.75,3200.4,-107.69,1,METERS
GHCND:USS0007M27S,"IDARADO, CO US",2021-07-19,1980-07-18,37.93,2987.0,-107.68,1,METERS
GHCND:USS0007M29S,"LIZARD HEAD PASS, CO US",2021-07-19,1980-07-24,37.8,3109.0,-107.92,1,METERS
GHCND:USS0007M31S,"VALLECITO, CO US",2021-07-19,1986-08-25,37.49,3316.2,-107.51,1,METERS
GHCND:USS0007M35S,"CASCADE NUMBER 2, CO US",2021-07-19,1990-09-30,37.66,2718.8,-107.8,1,METERS
GHCND:USS0008G03S,"SOUTH PASS, WY US",2021-07-19,1985-09-09,42.57,2755.4,-108.84,1,METERS
GHCND:USS0008M06S,"EL DIENTE PEAK, CO US",2021-07-19,1986-08-05,37.79,3048.0,-108.02,1,METERS
GHCND:USS0008M08S,"SCOTCH CREEK, CO US",2021-07-19,1986-08-05,37.65,2773.7,-108.01,1,METERS
GHCND:USS0009A01S,"ROCKY BOY, MT US",2021-07-19,1967-09-30,48.17,1432.6,-109.65,1,METERS
GHCND:USS0009C01S,"CRYSTAL LAKE, MT US",2021-07-19,1978-09-30,46.79,1844.0,-109.51,1,METERS
GHCND:USS0009D06S,"FISHER CREEK, MT US",2021-07-19,1966-09-30,45.06,2773.7,-109.94,1,METERS
GHCND:USS0009D08S,"WHITE MILL, MT US",2021-07-19,1973-09-30,45.05,2651.8,-109.91,1,METERS
GHCND:USS0009E08S,"WOLVERINE, WY US",2021-07-19,1980-07-28,44.8,2331.7,-109.66,1,METERS
GHCND:USS0009F08S,"LITTLE WARM, WY US",2021-07-19,1978-09-30,43.5,2856.0,-109.75,1,METERS
GHCND:USS0009F24S,"KIRWIN, WY US",2021-07-19,1980-08-19,43.86,2910.8,-109.32,1,METERS
GHCND:USS0009F25S,"COLD SPRINGS, WY US",2021-07-19,1983-09-30,43.28,2935.2,-109.45,1,METERS
GHCND:USS0009F27S,"ST. LAWRENCE ALT, WY US",2021-07-19,1983-09-30,43.03,2627.4,-109.17,1,METERS
GHCND:USS0009G03S,"HOBBS PARK, WY US",2021-07-19,1978-09-30,42.87,3078.5,-109.09,1,METERS
GHCND:USS0009J05S,"MOSBY MOUNTAIN, UT US",2021-07-19,1978-09-30,40.61,2898.6,-109.89,1,METERS
GHCND:USS0009J08S,"HICKERSON PARK, UT US",2021-07-19,1985-09-16,40.91,2787.4,-109.96,1,METERS
GHCND:USS0009K01S,"EAST WILLOW CREEK, UT US",2021-07-19,1986-08-05,39.31,2530.1,-109.53,1,METERS
GHCND:USS0009M02S,"CAMP JACKSON, UT US",2021-07-19,1985-09-30,37.81,2733.4,-109.49,1,METERS
GHCND:USS0010C03S,"PORCUPINE, MT US",2021-07-19,1976-09-30,46.11,1981.2,-110.47,1,METERS
GHCND:USS0010C08S,"S FORK SHIELDS, MT US",2021-07-19,1980-09-30,46.09,2468.9,-110.43,1,METERS
GHCND:USS0010C09S,"DEADMAN CREEK, MT US",2021-07-19,1967-09-30,46.79,1966.0,-110.68,1,METERS
GHCND:USS0010D07S,"NORTHEAST ENTRANCE, MT US",2021-07-19,1966-09-30,45.01,2240.3,-110.01,1,METERS
GHCND:USS0010D12S,"MONUMENT PEAK, MT US",2021-07-19,1980-08-12,45.22,2697.5,-110.24,1,METERS
GHCND:USS0010D24S,"PLACER BASIN, MT US",2021-07-19,1980-08-11,45.42,2691.4,-110.09,1,METERS
GHCND:USS0010E06S,"SYLVAN LAKE, WY US",2021-07-19,1980-09-30,44.48,2566.4,-110.16,1,METERS
GHCND:USS0010J01S,"HOLE IN ROCK, UT US",2021-07-19,1985-09-17,40.92,2788.9,-110.19,1,METERS
GHCND:USS0010J04S,"HEWINTA, UT US",2021-07-19,1985-09-18,40.95,2901.4,-110.48,1,METERS
GHCND:USS0010J18S,"ROCK CREEK, UT US",2021-07-19,1980-09-29,40.55,2404.6,-110.69,1,METERS
GHCND:USS0010J20S,"STEEL CREEK PARK, UT US",2021-07-19,1978-09-30,40.91,3109.0,-110.5,1,METERS
GHCND:USS0010J44S,"HAYDEN FORK, UT US",2021-07-19,1978-09-30,40.8,2807.8,-110.88,1,METERS
GHCND:USS0011C01S,"BOULDER MOUNTAIN, MT US",2021-07-19,1978-09-30,46.56,2423.2,-111.29,1,METERS
GHCND:USS0011C02S,"PICKFOOT CREEK, MT US",2021-07-19,1978-09-30,46.58,2026.9,-111.27,1,METERS
GHCND:USS0011E03S,"LAKEVIEW RIDGE, MT US",2021-07-19,1978-09-30,44.59,2255.5,-111.82,1,METERS
GHCND:USS0011E24S,"TEPEE CREEK, MT US",2021-07-19,1971-09-30,44.79,2438.4,-111.71,1,METERS
GHCND:USS0011E29S,"CARROT BASIN, MT US",2021-07-19,1966-09-30,44.96,2743.2,-111.29,1,METERS
